bentrok	B-O
pecah	B-O
ke	B-O
bundaran	B-B-LOC
hi	B-I-LOC
,	B-O
hingga	B-O
sepanjang	B-O
jalan	B-B-LOC
jend	B-I-LOC
.	B-I-LOC
sudirman	B-I-LOC
,	B-O
tugu	B-B-LOC
tani	B-I-LOC
&	B-O
amp	B-O
;	B-O
arah	B-O
rsia	B-B-LOC
budi	B-I-LOC
kemuliaan	B-I-LOC
.	B-O
dan	B-O
massa	B-O
ini	B-O
kami	B-O
tegaskan	B-O
,	B-O
bukan	B-O
masa	B-O
akso1310	B-O
.	B-O
url	O

puluhan	B-O
remaja	B-O
diamankan	B-O
polisi	B-O
di	B-O
kawasan	B-O
bundaran	B-B-LOC
hi	B-I-LOC
,	B-O
jakarta	B-B-LOC
pusat	B-I-LOC
.	B-O
para	B-O
remaja	B-O
tersebut	B-O
diketahui	B-O
sempat	B-O
bersembunyi	B-O
dalam	B-O
sebuah	B-O
dump	B-O
truck	B-O
.	B-O
hashtag	B-O
hashtag	B-O
url	B-O

user	B-O
user	B-O
jurusan	B-O
yang	B-O
kalo	B-O
lulus	B-O
bisa	B-O
jadi	B-O
bundaran	B-B-LOC
hi	B-I-LOC
.	B-O
bio	B-O
keinget	B-O
pelajaran	B-O
bio	B-O
pas	B-O
smp	B-O
ajasi	B-O

user	B-O
dulu	B-O
juga	B-O
ruu	B-O
kpk	B-O
bilang	B-O
nya	B-O
begith	B-O
sekarang	B-O
udah	B-O
musnah	B-O
kpk	B-O
nya	B-O
yang	B-O
ngomong	B-O
gitu	B-O
pasti	B-O
lagi	B-O
duduk	B-O
di	B-O
kursi	B-O
empuk	B-O
roda	B-O
pasti	B-O
berputar	B-O
koyo	B-O
bundaran	B-B-LOC
hi	B-I-LOC
jangan	B-O
koyo	B-O
tugu	B-B-LOC
monas	B-I-LOC
terus	B-O

user	B-O
selamat	B-O
pagi	B-O
.	B-O
layanan	B-O
halte	B-B-LOC
bundaran	B-I-LOC
hi	B-I-LOC
saat	B-O
ini	B-O
beroperasi	B-O
normal	B-O
melayani	B-O
pelanggan	B-O
.	B-O
terima	B-O
kasih	B-O
^ap	B-O

gowestipis2	B-O
.	B-O
hashtag	B-O
hashtag	B-O
#	B-O
hashtag	B-O
hashtag	B-O
hashtag	B-O
hashtag	B-O
hashtag	B-O
hashtag	B-O
@	B-O
bundaran	B-B-LOC
hotel	B-I-LOC
indonesia	B-I-LOC
hi	B-I-LOC
thamrin	B-B-LOC
